Index,Lat_Start,Lon_Start,Number
18838,53.74582,10.12225,1
18839,53.74655,10.12307,2
18840,53.74871,10.12611,3
18841,53.74886,10.12624,4
18842,53.74896,10.12627,5
18843,53.74935,10.12622,1
18844,53.75063,10.12676,2
18845,53.75067,10.12681,3
18846,53.75126,10.12706,4
18847,53.75136,10.12705,5
18848,53.75907,10.13012,1
18849,53.7594,10.13018,2
18850,53.7598,10.13016,3
18851,53.76023,10.13004,4
18852,53.76081,10.12976,5
18853,53.76914,10.12439,1
18854,53.76986,10.1241,2
18855,53.77287,10.12401,3
18856,53.77393,10.12421,4
18857,53.7775,10.12579,5
18858,53.77871,10.12656,1
18859,53.78397,10.13088,2
18860,53.78864,10.13545,3
18861,53.78874,10.13549,4
18862,53.79696,10.14236,5
18863,53.79911,10.14549,1
18864,53.7992,10.14556,2
18865,53.80874,10.1596,3
18866,53.81134,10.16459,4
18867,53.81322,10.16705,5
18868,53.81328,10.16708,1
18869,53.81488,10.16911,2
18870,53.81608,10.17115,3
18871,53.8161,10.17125,4
18872,53.82236,10.18363,5
18873,53.82287,10.18547,1
18874,53.82387,10.19149,2
18875,53.82467,10.19445,3
18876,53.84323,10.23663,4
18877,53.84397,10.23776,5
18878,53.84455,10.23836,1
18880,53.84684,10.23983,2
18882,53.85087,10.24231,3
18883,53.85536,10.2451,4
18884,53.85536,10.24511,5
18885,53.86673,10.25221,1
18886,53.86699,10.2523,2
18887,53.86793,10.25244,3
18888,53.86822,10.25258,4
18889,53.86924,10.25378,5
18890,53.87308,10.26041,1
18891,53.87371,10.26116,2
18892,53.87412,10.26149,3
18893,53.87492,10.26192,4
18894,53.88032,10.26393,5
18895,53.88871,10.26534,1
18896,53.89013,10.26528,2
18897,53.89606,10.26412,3
18898,53.89614,10.26415,4
18899,53.89853,10.26368,5
18900,53.89858,10.26364,1
18901,53.90881,10.2617,2
18902,53.9094,10.26169,3
18903,53.90999,10.26183,4
18904,53.91049,10.2621,5
18905,53.91113,10.26264,1
18906,53.91769,10.27035,2
18907,53.91772,10.27043,3
18908,53.92071,10.27396,4
18909,53.92856,10.27971,5
18910,53.92887,10.28009,1
18911,53.9355,10.29203,2
18912,53.93666,10.29471,3
18913,53.937,10.29596,4
18914,53.93718,10.29804,5
18915,53.9371,10.29888,1
18916,53.93745,10.29875,2
18917,53.93751,10.29866,3
18918,53.93797,10.29846,4
18919,53.93839,10.29839,5
18920,53.94017,10.29836,1
18921,53.94044,10.29847,2
18922,53.94204,10.29987,3
18923,53.94435,10.30123,4
18924,53.95168,10.30747,5
18925,53.95401,10.31007,1
18926,53.95824,10.31669,2
18927,53.96203,10.32146,3
18928,53.96403,10.32699,4
18929,53.9663,10.34298,5
18930,53.96907,10.37245,1
18931,53.96943,10.37395,2
18932,53.97466,10.38437,3
18933,53.99147,10.44051,4
18934,53.99241,10.44627,5
18935,53.99247,10.44765,1
18936,53.99209,10.45584,2
18937,53.99219,10.45794,3
18938,53.99927,10.49139,4
18939,53.99944,10.49287,5
18940,53.99863,10.5184,1
18941,53.99895,10.53131,2
18942,54.00006,10.5374,3
18943,54.0005,10.5389,4
18944,54.02853,10.59793,5
18945,54.03646,10.61887,1
18946,54.04133,10.64995,2
18947,54.04131,10.6501,3
18948,54.04324,10.66291,4
18949,54.04315,10.66511,5
18950,54.04359,10.66522,1
18951,54.04367,10.66535,2
18952,54.04583,10.67931,3
18954,54.04582,10.67947,4
18956,54.04583,10.67949,5
18957,54.04589,10.67954,1
18959,54.04591,10.67953,2
18961,54.04593,10.67952,3
18963,54.04595,10.6795,4
18964,54.05515,10.6825,5
18965,54.0605,10.68544,1
18966,54.06687,10.68786,2
18967,54.06764,10.68796,3
18968,54.07212,10.68718,4
18969,54.07279,10.68724,5
18970,54.07326,10.68739,1
18971,54.07394,10.68778,2
18972,54.07714,10.69083,3
18973,54.07775,10.69161,4
18974,54.08205,10.69838,5
18975,54.08248,10.69925,1
18976,54.08457,10.70598,2
18977,54.08482,10.70741,3
18978,54.08533,10.7239,4
18979,54.08555,10.72495,5
18980,54.09033,10.7386,1
18981,54.09502,10.77984,2
18982,54.09508,10.77997,3
18983,54.09553,10.78443,4
18984,54.09544,10.78448,5
18985,54.09535,10.7847,1
18986,54.09536,10.78487,2
18987,54.09548,10.78501,3
18988,54.09556,10.78502,4
18989,54.09564,10.78497,5
18990,54.09583,10.78557,1
18991,54.09932,10.793,2
18992,54.09932,10.79315,3
18993,54.09938,10.79323,4
18994,54.09945,10.79325,5
18995,54.10593,10.80673,1
18996,54.10615,10.80736,2
18997,54.10647,10.80966,3
18998,54.10673,10.81073,4
18999,54.10667,10.81086,5
19000,54.10613,10.81137,1
