type	latitude	longitude	color	opacity	width	scale	sym	name	desc
W	51.034399900	2.376783900				0.7	images/icon-1.png	Dunkirk, France	
W	67.931897000	26.536155000				0.7	images/icon-2.png	Lapland, Finland	

type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	51.070380000	2.659220000							
T	51.070370000	2.659230000							
T	51.070370000	2.659320000							
T	51.069550000	2.661290000							
T	51.069280000	2.662590000							
T	51.069310000	2.662730000							
T	51.069320000	2.662730000							
T	51.069330000	2.662750000							
T	51.069340000	2.662750000							
T	51.069340000	2.662760000							
T	51.069410000	2.662760000							
T	51.070650000	2.665240000							
T	51.070920000	2.665520000							
T	51.072680000	2.666430000							
T	51.072890000	2.666380000							
T	51.073000000	2.666430000							
T	51.073270000	2.666330000							
T	51.073340000	2.666510000							
T	51.077370000	2.668420000							
T	51.077470000	2.668510000							
T	51.093370000	2.677150000							
T	51.099790000	2.685120000							
T	51.102560000	2.690580000							
T	51.107150000	2.705750000							
T	51.107200000	2.705820000							
T	51.110210000	2.716100000							
T	51.111890000	2.725880000							
T	51.120100000	2.744650000							
T	51.120650000	2.745280000							
T	51.121290000	2.746800000							
T	51.121680000	2.746730000							
T	51.122150000	2.746410000							
T	51.122250000	2.746380000							
T	51.122340000	2.746390000							
T	51.122440000	2.746480000							
T	51.122630000	2.746980000							
T	51.122870000	2.747190000							
T	51.124080000	2.747280000							
T	51.124220000	2.747370000							
T	51.124300000	2.747380000							
T	51.124430000	2.747330000							
T	51.124890000	2.747740000							
T	51.125470000	2.748050000							
T	51.126370000	2.748190000							
T	51.126460000	2.748270000							
T	51.133160000	2.747630000							
T	51.133170000	2.747740000							
T	51.133240000	2.747870000							
T	51.133280000	2.747890000							
T	51.133280000	2.747900000							
T	51.133360000	2.747900000							
T	51.133990000	2.754500000							
T	51.133960000	2.754500000							
T	51.133960000	2.754510000							
T	51.133920000	2.754520000							
T	51.133920000	2.754530000							
T	51.133910000	2.754530000							
T	51.133910000	2.754540000							
T	51.133900000	2.754540000							
T	51.133900000	2.754550000							
T	51.133890000	2.754550000							
T	51.133810000	2.754750000							
T	51.133810000	2.754930000							
T	51.133870000	2.755080000							
T	51.134010000	2.755170000							
T	51.134200000	2.755080000							
T	51.134460000	2.755100000							
T	51.135880000	2.754640000							
T	51.135930000	2.754810000							
T	51.136180000	2.754760000							
T	51.136360000	2.754800000							
T	51.136570000	2.755010000							
T	51.136660000	2.755210000							
T	51.136770000	2.756000000							
T	51.136710000	2.756060000							
T	51.136280000	2.757240000							
T	51.136740000	2.757590000							
T	51.136830000	2.757720000							
T	51.138570000	2.764010000							
T	51.138710000	2.764870000							
T	51.138700000	2.765380000							
T	51.138850000	2.765450000							
T	51.139060000	2.765440000							
T	51.139160000	2.765360000							
T	51.139650000	2.764550000							
T	51.140050000	2.764280000							
T	51.140450000	2.764220000							
T	51.140760000	2.764250000							
T	51.142210000	2.764880000							
T	51.143870000	2.765890000							
T	51.145250000	2.766930000							
T	51.147780000	2.769490000							
T	51.150540000	2.779160000							
T	51.151410000	2.783480000							
T	51.151690000	2.785970000							
T	51.152590000	2.789240000							
T	51.152620000	2.789590000							
T	51.152320000	2.791520000							
T	51.152340000	2.792890000							
T	51.152820000	2.794180000							
T	51.154170000	2.796240000							
T	51.154290000	2.796540000							
T	51.154420000	2.797530000							
T	51.154800000	2.797740000							
T	51.155140000	2.798300000							
T	51.155230000	2.798340000							
T	51.155650000	2.798260000							
T	51.155790000	2.798340000							
T	51.155880000	2.798510000							
T	51.155270000	2.801530000							
T	51.155320000	2.802540000							
T	51.155500000	2.803040000							
T	51.156430000	2.807700000							
T	51.156610000	2.809240000							
T	51.157100000	2.811280000							
T	51.157260000	2.811460000							
T	51.157460000	2.811590000							
T	51.158030000	2.813150000							
T	51.158090000	2.813510000							
T	51.158550000	2.814880000							
T	51.158770000	2.815250000							
T	51.159200000	2.817610000							
T	51.159750000	2.819310000							
T	51.159960000	2.820970000							
T	51.164690000	2.831340000							
T	51.170830000	2.864330000							
T	51.172360000	2.886020000							
T	51.172370000	2.886020000							
T	51.173980000	2.909840000							
T	51.178780000	2.938880000							
T	51.178930000	2.938880000							
T	51.179610000	2.938670000							
T	51.179620000	2.938610000							
T	51.181000000	2.938360000							
T	51.182230000	2.938420000							
T	51.183070000	2.938600000							
T	51.184260000	2.939030000							
T	51.184260000	2.939040000							
T	51.185460000	2.939670000							
T	51.185540000	2.939660000							
T	51.185560000	2.939730000							
T	51.188190000	2.941570000							
T	51.192430000	2.945130000							
T	51.204640000	2.956430000							
T	51.206100000	2.957340000							
T	51.207010000	2.957710000							
T	51.208230000	2.957960000							
T	51.208990000	2.957950000							
T	51.210530000	2.957700000							
T	51.210600000	2.957640000							
T	51.210820000	2.957260000							
T	51.206800000	2.975800000							
T	51.215130000	2.980480000							
T	51.210550000	3.002110000							
T	51.211330000	3.002440000							
T	51.209150000	3.007520000							
T	51.208900000	3.008330000							
T	51.208340000	3.014660000							
T	51.207080000	3.019500000							
T	51.206920000	3.021390000							
T	51.205470000	3.028810000							
T	51.205330000	3.029100000							
T	51.203330000	3.031810000							
T	51.202790000	3.032990000							
T	51.202780000	3.032990000							
T	51.202660000	3.033520000							
T	51.201730000	3.035650000							
T	51.201180000	3.037660000							
T	51.201170000	3.042440000							
T	51.201740000	3.046250000							
T	51.202040000	3.050550000							
T	51.201880000	3.053300000							
T	51.202100000	3.057690000							
T	51.201740000	3.063780000							
T	51.201750000	3.068380000							
T	51.202160000	3.073660000							
T	51.203940000	3.081730000							
T	51.204010000	3.082730000							
T	51.204080000	3.082970000							
T	51.204000000	3.084730000							
T	51.203920000	3.084900000							
T	51.203380000	3.089510000							
T	51.203500000	3.093700000							
T	51.203400000	3.095750000							
T	51.203510000	3.097100000							
T	51.204320000	3.099660000							
T	51.205250000	3.101750000							
T	51.205930000	3.105480000							
T	51.206590000	3.107700000							
T	51.206810000	3.110210000							
T	51.208320000	3.117730000							
T	51.208930000	3.125050000							
T	51.208980000	3.125160000							
T	51.208930000	3.125360000							
T	51.209030000	3.125650000							
T	51.209840000	3.136210000							
T	51.211300000	3.143140000							
T	51.212120000	3.151480000							
T	51.213520000	3.159190000							
T	51.214820000	3.163130000							
T	51.216160000	3.168290000							
T	51.217050000	3.173440000							
T	51.217340000	3.176370000							
T	51.217330000	3.178950000							
T	51.217600000	3.182280000							
T	51.217520000	3.187630000							
T	51.217660000	3.189550000							
T	51.218640000	3.193820000							
T	51.218720000	3.195100000							
T	51.218570000	3.196980000							
T	51.217640000	3.200680000							
T	51.217620000	3.202070000							
T	51.217760000	3.203650000							
T	51.218270000	3.206100000							
T	51.219290000	3.209370000							
T	51.219220000	3.209510000							
T	51.218880000	3.209890000							
T	51.217680000	3.211900000							
T	51.218360000	3.213390000							
T	51.219040000	3.215490000							
T	51.219990000	3.219520000							
T	51.219960000	3.220640000							
T	51.219770000	3.221510000							
T	51.219500000	3.221990000							
T	51.219650000	3.222170000							
T	51.220470000	3.223680000							
T	51.220730000	3.224480000							
T	51.221010000	3.226210000							
T	51.221170000	3.226530000							
T	51.221060000	3.226690000							
T	51.220600000	3.230650000							
T	51.220360000	3.231020000							
T	51.220340000	3.231120000							
T	51.220870000	3.232500000							
T	51.221590000	3.233440000							
T	51.222160000	3.235030000							
T	51.224460000	3.239460000							
T	51.224860000	3.240040000							
T	51.224870000	3.240280000							
T	51.234440000	3.258790000							
T	51.236160000	3.260770000							
T	51.236320000	3.260860000							
T	51.236470000	3.261020000							
T	51.236570000	3.261230000							
T	51.252380000	3.279990000							
T	51.252060000	3.280450000							
T	51.265000000	3.295610000							
T	51.265030000	3.296150000							
T	51.264970000	3.296280000							
T	51.266400000	3.297900000							
T	51.266500000	3.297760000							
T	51.266650000	3.297740000							
T	51.266770000	3.297790000							
T	51.280000000	3.313500000							
T	51.291160000	3.337240000							
T	51.291600000	3.336710000							
T	51.303290000	3.360950000							
T	51.305740000	3.371590000							
T	51.305930000	3.372010000							
T	51.306080000	3.373090000							
T	51.305860000	3.379430000							
T	51.305930000	3.379810000							
T	51.306240000	3.380390000							
T	51.306530000	3.380650000							
T	51.309530000	3.382500000							
T	51.309750000	3.383620000							
T	51.309720000	3.383680000							
T	51.309710000	3.383680000							
T	51.309720000	3.383840000							
T	51.309730000	3.383840000							
T	51.309730000	3.383860000							
T	51.309740000	3.383860000							
T	51.309740000	3.383870000							
T	51.309750000	3.383870000							
T	51.309750000	3.383880000							
T	51.309760000	3.383880000							
T	51.309760000	3.383890000							
T	51.309810000	3.383900000							
T	51.309810000	3.383890000							
T	51.309830000	3.383890000							
T	51.309830000	3.383880000							
T	51.309870000	3.384070000							
T	51.309740000	3.384820000							
T	51.310440000	3.385410000							
T	51.312350000	3.387780000							
T	51.312450000	3.387850000							
T	51.312730000	3.387790000							
T	51.313010000	3.387660000							
T	51.313100000	3.387670000							
T	51.313230000	3.387740000							
T	51.315790000	3.390010000							
T	51.316750000	3.391320000							
T	51.317620000	3.392850000							
T	51.319680000	3.395890000							
T	51.323580000	3.400150000							
T	51.325990000	3.406720000							
T	51.326250000	3.407110000							
T	51.326620000	3.407400000							
T	51.326950000	3.407500000							
T	51.328970000	3.407620000							
T	51.329090000	3.407580000							
T	51.329800000	3.407700000							
T	51.331900000	3.408420000							
T	51.332760000	3.408890000							
T	51.333660000	3.409760000							
T	51.339250000	3.418120000							
T	51.340380000	3.419460000							
T	51.346750000	3.425220000							
T	51.349520000	3.428080000							
T	51.350610000	3.429460000							
T	51.352630000	3.432780000							
T	51.352640000	3.432880000							
T	51.352630000	3.432890000							
T	51.352670000	3.433080000							
T	51.352680000	3.433080000							
T	51.352680000	3.433090000							
T	51.352690000	3.433090000							
T	51.352690000	3.433100000							
T	51.352700000	3.433100000							
T	51.352700000	3.433110000							
T	51.352730000	3.433120000							
T	51.352810000	3.433100000							
T	51.352820000	3.433080000							
T	51.352830000	3.433080000							
T	51.352870000	3.433010000							
T	51.352880000	3.432910000							
T	51.352870000	3.432900000							
T	51.352880000	3.432810000							
T	51.365820000	3.412670000							
T	51.366210000	3.412840000							
T	51.368830000	3.413340000							
T	51.369190000	3.413350000							
T	51.369330000	3.413740000							
T	51.369570000	3.413950000							
T	51.369940000	3.414690000							
T	51.370000000	3.414960000							
T	51.369830000	3.416810000							
T	51.370510000	3.417560000							
T	51.370780000	3.417710000							
T	51.370900000	3.417730000							
T	51.371270000	3.417650000							
T	51.371360000	3.417660000							
T	51.371510000	3.417750000							
T	51.371930000	3.418600000							
T	51.372810000	3.419390000							
T	51.373740000	3.420740000							
T	51.377710000	3.429030000							
T	51.377950000	3.429250000							
T	51.382630000	3.431720000							
T	51.382120000	3.433720000							
T	51.381660000	3.434920000							
T	51.383450000	3.437620000							
T	51.383960000	3.438080000							
T	51.384060000	3.438580000							
T	51.384030000	3.440940000							
T	51.384100000	3.441460000							
T	51.385690000	3.447400000							
T	51.385980000	3.447770000							
T	51.386330000	3.447900000							
T	51.387970000	3.447850000							
T	51.388120000	3.447780000							
T	51.388540000	3.447780000							
T	51.389110000	3.447970000							
T	51.389160000	3.447950000							
T	51.389240000	3.447840000							
T	51.389420000	3.447840000							
T	51.389590000	3.447930000							
T	51.389750000	3.448250000							
T	51.391350000	3.455130000							
T	51.391360000	3.455130000							
T	51.391860000	3.456500000							
T	51.391960000	3.456580000							
T	51.392250000	3.457340000							
T	51.392570000	3.457580000							
T	51.392630000	3.457670000							
T	51.392650000	3.457770000							
T	51.393330000	3.458960000							
T	51.393410000	3.459240000							
T	51.393760000	3.466680000							
T	51.394150000	3.468130000							
T	51.394190000	3.468730000							
T	51.394150000	3.468870000							
T	51.394320000	3.470550000							
T	51.395540000	3.474410000							
T	51.395920000	3.476770000							
T	51.395990000	3.480410000							
T	51.397100000	3.485190000							
T	51.397080000	3.485240000							
T	51.397400000	3.487020000							
T	51.397380000	3.487300000							
T	51.397910000	3.488990000							
T	51.398320000	3.489740000							
T	51.399040000	3.491820000							
T	51.399140000	3.492320000							
T	51.399350000	3.492120000							
T	51.401450000	3.498640000							
T	51.401750000	3.502410000							
T	51.401890000	3.502750000							
T	51.402040000	3.502830000							
T	51.402470000	3.502760000							
T	51.402760000	3.502650000							
T	51.402810000	3.502440000							
T	51.402860000	3.502370000							
T	51.402920000	3.502360000							
T	51.403310000	3.502630000							
T	51.404190000	3.503540000							
T	51.404290000	3.503590000							
T	51.404690000	3.503630000							
T	51.405110000	3.503380000							
T	51.405270000	3.503370000							
T	51.405430000	3.503450000							
T	51.405460000	3.503600000							
T	51.405310000	3.504250000							
T	51.405340000	3.505620000							
T	51.405420000	3.505970000							
T	51.405910000	3.506760000							
T	51.406150000	3.509570000							
T	51.406780000	3.511820000							
T	51.407200000	3.519090000							
T	51.407080000	3.520470000							
T	51.406840000	3.521300000							
T	51.406770000	3.522160000							
T	51.406280000	3.524510000							
T	51.405830000	3.525820000							
T	51.404970000	3.529320000							
T	51.404940000	3.529330000							
T	51.404970000	3.529580000							
T	51.404600000	3.535080000							
T	51.404570000	3.535130000							
T	51.404400000	3.537030000							
T	51.404320000	3.537200000							
T	51.404370000	3.537300000							
T	51.404430000	3.538970000							
T	51.404580000	3.539660000							
T	51.404770000	3.540060000							
T	51.405340000	3.540740000							
T	51.405500000	3.541460000							
T	51.405500000	3.542230000							
T	51.405170000	3.543510000							
T	51.404980000	3.543910000							
T	51.404260000	3.544890000							
T	51.404190000	3.545100000							
T	51.404140000	3.545740000							
T	51.404000000	3.546040000							
T	51.403800000	3.546160000							
T	51.403190000	3.546170000							
T	51.402910000	3.546390000							
T	51.402780000	3.546360000							
T	51.402540000	3.546210000							
T	51.402310000	3.546160000							
T	51.402130000	3.546170000							
T	51.401780000	3.546420000							
T	51.401430000	3.546840000							
T	51.401050000	3.547660000							
T	51.400670000	3.547180000							
T	51.400580000	3.547450000							
T	51.400890000	3.547780000							
T	51.400890000	3.547800000							
T	51.400870000	3.547800000							
T	51.400810000	3.547740000							
T	51.400760000	3.547860000							
T	51.400960000	3.548060000							
T	51.400980000	3.548000000							
T	51.400890000	3.547870000							
T	51.400910000	3.547870000							
T	51.401080000	3.548050000							
T	51.401110000	3.547990000							
T	51.401130000	3.547990000							
T	51.402490000	3.549580000							
T	51.403130000	3.550030000							
T	51.403740000	3.550340000							
T	51.404260000	3.550740000							
T	51.405930000	3.552830000							
T	51.420920000	3.567200000							
T	51.427470000	3.572870000							
T	51.429400000	3.575190000							
T	51.430150000	3.576560000							
T	51.431220000	3.579140000							
T	51.432130000	3.582740000							
T	51.432770000	3.587120000							
T	51.433610000	3.591060000							
T	51.434690000	3.594160000							
T	51.436820000	3.597900000							
T	51.440070000	3.602190000							
T	51.440740000	3.602870000							
T	51.441030000	3.602990000							
T	51.441310000	3.602970000							
T	51.441440000	3.602880000							
T	51.444080000	3.599270000							
T	51.444150000	3.599040000							
T	51.444010000	3.596780000							
T	51.443890000	3.596710000							
T	51.443750000	3.596510000							
T	51.443670000	3.596250000							
T	51.443630000	3.595790000							
T	51.443740000	3.595570000							
T	51.443820000	3.595570000							
T	51.443890000	3.595500000							
T	51.443890000	3.595010000							
T	51.444040000	3.594760000							
T	51.447260000	3.594120000							
T	51.447530000	3.594010000							
T	51.447720000	3.593850000							
T	51.447960000	3.593440000							
T	51.448150000	3.592790000							
T	51.448210000	3.592830000							
T	51.448230000	3.592820000							
T	51.448570000	3.591390000							
T	51.448610000	3.591370000							
T	51.448710000	3.591380000							
T	51.449230000	3.587760000							
T	51.449330000	3.587620000							
T	51.449530000	3.586680000							
T	51.449410000	3.586610000							
T	51.449660000	3.585460000							
T	51.449700000	3.585430000							
T	51.450110000	3.585620000							
T	51.450740000	3.586270000							
T	51.452250000	3.587080000							
T	51.452430000	3.587050000							
T	51.452860000	3.587270000							
T	51.453010000	3.587470000							
T	51.461970000	3.592140000							
T	51.462990000	3.592470000							
T	51.463430000	3.592900000							
T	51.464970000	3.593620000							
T	51.465470000	3.593970000							
T	51.489090000	3.606320000							
T	51.490360000	3.607160000							
T	51.491400000	3.608130000							
T	51.493180000	3.610500000							
T	51.493360000	3.610550000							
T	51.493500000	3.610540000							
T	51.493860000	3.610280000							
T	51.494180000	3.610670000							
T	51.494240000	3.610660000							
T	51.494420000	3.610530000							
T	51.494800000	3.609360000							
T	51.494880000	3.608690000							
T	51.494680000	3.608160000							
T	51.494630000	3.607320000							
T	51.494820000	3.607190000							
T	51.495130000	3.607160000							
T	51.495550000	3.606960000							
T	51.495700000	3.606770000							
T	51.496120000	3.605830000							
T	51.496160000	3.605440000							
T	51.496100000	3.605010000							
T	51.496190000	3.604510000							
T	51.496380000	3.604220000							
T	51.496600000	3.604040000							
T	51.496840000	3.604080000							
T	51.497010000	3.604230000							
T	51.497280000	3.604800000							
T	51.497580000	3.604870000							
T	51.497730000	3.604840000							
T	51.498260000	3.604580000							
T	51.498570000	3.604600000							
T	51.498820000	3.604510000							
T	51.498930000	3.603930000							
T	51.499110000	3.603460000							
T	51.499330000	3.603230000							
T	51.499520000	3.603280000							
T	51.499790000	3.603890000							
T	51.499830000	3.604270000							
T	51.499710000	3.604850000							
T	51.499750000	3.604960000							
T	51.500360000	3.605820000							
T	51.500250000	3.606060000							
T	51.500220000	3.606070000							
T	51.500270000	3.606170000							
T	51.500680000	3.605190000							
T	51.500780000	3.605070000							
T	51.502290000	3.604670000							
T	51.505400000	3.601830000							
T	51.506020000	3.601400000							
T	51.507250000	3.600900000							
T	51.507320000	3.600830000							
T	51.512630000	3.599510000							
T	51.517480000	3.598730000							
T	51.517970000	3.598870000							
T	51.518250000	3.599020000							
T	51.518470000	3.599210000							
T	51.520150000	3.601670000							
T	51.520940000	3.603110000							
T	51.521790000	3.605090000							
T	51.521970000	3.605360000							
T	51.522250000	3.605620000							
T	51.522580000	3.605820000							
T	51.522870000	3.605910000							
T	51.525210000	3.605690000							
T	51.526750000	3.606040000							
T	51.528000000	3.606000000							
T	51.528700000	3.606150000							
T	51.529040000	3.606160000							
T	51.529770000	3.606030000							
T	51.531930000	3.605310000							
T	51.535900000	3.602340000							
T	51.536350000	3.602240000							
T	51.538510000	3.602590000							
T	51.540500000	3.602690000							
T	51.540580000	3.602720000							
T	51.542600000	3.602800000							
T	51.542620000	3.602900000							
T	51.542680000	3.602970000							
T	51.542730000	3.602980000							
T	51.542830000	3.603230000							
T	51.542830000	3.603160000							
T	51.543000000	3.603060000							
T	51.543040000	3.602990000							
T	51.544060000	3.603020000							
T	51.544300000	3.603080000							
T	51.544340000	3.602520000							
T	51.546830000	3.603330000							
T	51.547740000	3.603410000							
T	51.548500000	3.603290000							
T	51.548580000	3.603230000							
T	51.548630000	3.603250000							
T	51.548670000	3.603310000							
T	51.548680000	3.603390000							
T	51.549560000	3.603120000							
T	51.553650000	3.600950000							
T	51.553900000	3.600750000							
T	51.555300000	3.600050000							
T	51.556930000	3.599470000							
T	51.557460000	3.598990000							
T	51.557810000	3.598860000							
T	51.557900000	3.598930000							
T	51.558020000	3.599210000							
T	51.558140000	3.599330000							
T	51.559640000	3.600000000							
T	51.560520000	3.600600000							
T	51.561170000	3.601260000							
T	51.561580000	3.601820000							
T	51.565410000	3.609160000							
T	51.566370000	3.610710000							
T	51.566630000	3.610930000							
T	51.568710000	3.612120000							
T	51.569310000	3.612570000							
T	51.569980000	3.613260000							
T	51.570130000	3.613590000							
T	51.573880000	3.619040000							
T	51.573910000	3.619020000							
T	51.573970000	3.618820000							
T	51.574100000	3.618900000							
T	51.574800000	3.619100000							
T	51.574920000	3.619220000							
T	51.575050000	3.619520000							
T	51.575180000	3.619590000							
T	51.575180000	3.619600000							
T	51.575750000	3.619890000							
T	51.576820000	3.620750000							
T	51.577930000	3.621390000							
T	51.577930000	3.621510000							
T	51.582140000	3.624030000							
T	51.582140000	3.624040000							
T	51.582740000	3.624480000							
T	51.583660000	3.625450000							
T	51.585110000	3.627600000							
T	51.585450000	3.627840000							
T	51.585530000	3.627970000							
T	51.585550000	3.628150000							
T	51.585520000	3.628260000							
T	51.585460000	3.628340000							
T	51.586210000	3.630390000							
T	51.588370000	3.638070000							
T	51.589460000	3.643250000							
T	51.589800000	3.646520000							
T	51.589800000	3.660200000							
T	51.589570000	3.662560000							
T	51.589880000	3.662780000							
T	51.590340000	3.663420000							
T	51.590510000	3.663530000							
T	51.590600000	3.663530000							
T	51.590730000	3.663740000							
T	51.590760000	3.663750000							
T	51.590790000	3.663720000							
T	51.591030000	3.662930000							
T	51.591060000	3.662610000							
T	51.591810000	3.664070000							
T	51.591940000	3.664880000							
T	51.595170000	3.669940000							
T	51.595580000	3.670910000							
T	51.595680000	3.671000000							
T	51.597490000	3.675960000							
T	51.598640000	3.680820000							
T	51.598800000	3.681160000							
T	51.598820000	3.681390000							
T	51.598770000	3.681670000							
T	51.599250000	3.681900000							
T	51.615540000	3.684140000							
T	51.616280000	3.683900000							
T	51.616830000	3.683560000							
T	51.617120000	3.683460000							
T	51.617620000	3.683490000							
T	51.618430000	3.683890000							
T	51.618720000	3.683930000							
T	51.618990000	3.684320000							
T	51.619100000	3.684230000							
T	51.619330000	3.683430000							
T	51.619410000	3.683330000							
T	51.619540000	3.683250000							
T	51.619710000	3.683270000							
T	51.621070000	3.683780000							
T	51.622240000	3.684420000							
T	51.623660000	3.685400000							
T	51.625600000	3.687120000							
T	51.627240000	3.688980000							
T	51.641500000	3.710440000							
T	51.641630000	3.710840000							
T	51.641490000	3.713080000							
T	51.641540000	3.713440000							
T	51.641700000	3.713700000							
T	51.651830000	3.721690000							
T	51.652740000	3.722280000							
T	51.653930000	3.722750000							
T	51.656220000	3.723010000							
T	51.664780000	3.722420000							
T	51.664780000	3.722410000							
T	51.666810000	3.722230000							
T	51.667820000	3.722340000							
T	51.668780000	3.722610000							
T	51.671290000	3.723700000							
T	51.671540000	3.723720000							
T	51.671680000	3.723690000							
T	51.671880000	3.723740000							
T	51.672480000	3.724440000							
T	51.675120000	3.725890000							
T	51.676140000	3.726690000							
T	51.677170000	3.727900000							
T	51.677270000	3.727900000							
T	51.678400000	3.726690000							
T	51.679920000	3.726100000							
T	51.680440000	3.725480000							
T	51.684680000	3.731790000							
T	51.684600000	3.731790000							
T	51.684530000	3.731850000							
T	51.684470000	3.731990000							
T	51.684470000	3.732150000							
T	51.684540000	3.732320000							
T	51.684640000	3.732370000							
T	51.684740000	3.732330000							
T	51.684820000	3.732170000							
T	51.684820000	3.731990000							
T	51.687580000	3.735950000							
T	51.688740000	3.739460000							
T	51.692770000	3.748070000							
T	51.694000000	3.749520000							
T	51.694840000	3.750160000							
T	51.697530000	3.751210000							
T	51.698930000	3.751300000							
T	51.699160000	3.751540000							
T	51.699190000	3.751610000							
T	51.699280000	3.751580000							
T	51.699410000	3.751440000							
T	51.699690000	3.752020000							
T	51.699830000	3.752750000							
T	51.707740000	3.771500000							
T	51.715080000	3.793300000							
T	51.715250000	3.793380000							
T	51.715610000	3.798820000							
T	51.716370000	3.800500000							
T	51.718280000	3.798210000							
T	51.718580000	3.798900000							
T	51.720880000	3.806840000							
T	51.722500000	3.810480000							
T	51.727770000	3.808070000							
T	51.728040000	3.809330000							
T	51.728970000	3.811860000							
T	51.729220000	3.813910000							
T	51.729610000	3.815430000							
T	51.730210000	3.816790000							
T	51.732960000	3.821540000							
T	51.733220000	3.821870000							
T	51.733530000	3.822090000							
T	51.734100000	3.822200000							
T	51.734130000	3.822410000							
T	51.734080000	3.822840000							
T	51.734190000	3.823000000							
T	51.734260000	3.823000000							
T	51.734300000	3.822970000							
T	51.734360000	3.822840000							
