Lat_Start,Lon_Start,Coordinate Pair,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,Distance_Miles,RT_Miles,Trip,RowCount
67.71802,24.99891,,67.72018,24.99891,1.181902412,0.436313289,1.181940111,0.436313289,0.24018105,2959.175073,0.149250789,1838.859538,29643,5
67.72018,25.00268,,67.72125,25.00268,1.181940111,0.436379088,1.181958786,0.436379088,0.118978588,2959.294052,0.073934426,1838.933472,29644,1
67.72125,25.00413,,67.72192,25.00413,1.181958786,0.436404395,1.18197048,0.436404395,0.074500562,2959.368552,0.046295358,1838.979767,29645,2
67.72192,25.0057,,67.72228,25.0057,1.18197048,0.436431797,1.181976763,0.436431797,0.040030175,2959.408582,0.024875132,1839.004643,29646,3
67.72228,25.00746,,67.72257,25.00746,1.181976763,0.436462515,1.181981824,0.436462515,0.032246713,2959.440829,0.020038414,1839.024681,29647,4
67.72257,25.01172,,67.72299,25.01172,1.181981824,0.436536866,1.181989155,0.436536866,0.046701895,2959.487531,0.029021002,1839.053702,29648,5
67.72299,25.01455,,67.7232,25.01455,1.181989155,0.436586258,1.18199282,0.436586258,0.023350996,2959.510882,0.014510531,1839.068213,29649,1
67.7232,25.02426,,67.72397,25.02426,1.18199282,0.43675573,1.182006259,0.43675573,0.085620113,2959.596502,0.053205153,1839.121418,29650,2
67.72397,25.02857,,67.72585,25.02857,1.182006259,0.436830954,1.182039071,0.436830954,0.20904647,2959.805549,0.129903465,1839.251321,29651,3
67.72585,25.03324,,67.72612,25.03324,1.182039071,0.43691246,1.182043784,0.43691246,0.030022678,2959.835571,0.018656378,1839.269978,29652,4
67.72612,25.03442,,67.72681,25.03442,1.182043784,0.436933055,1.182055826,0.436933055,0.076724462,2959.912296,0.04767731,1839.317655,29653,5
67.72681,25.04011,,67.72714,25.04011,1.182055826,0.437032365,1.182061586,0.437032365,0.036694427,2959.94899,0.022802266,1839.340457,29654,1
67.72714,25.04851,,67.72701,25.04851,1.182061586,0.437178972,1.182059317,0.437178972,0.014455438,2959.963446,0.008982747,1839.34944,29655,2
67.72701,25.04989,,67.72804,25.04989,1.182059317,0.437203058,1.182077294,0.437203058,0.114530732,2960.077976,0.071170486,1839.42061,29656,3
67.72804,25.05175,,67.72885,25.05175,1.182077294,0.437235521,1.182091431,0.437235521,0.090067835,2960.168044,0.055969009,1839.476579,29657,4
67.72885,25.05402,,67.72941,25.05402,1.182091431,0.43727514,1.182101205,0.43727514,0.062269161,2960.230313,0.038694649,1839.515274,29658,5
67.72941,25.05641,,67.72983,25.05641,1.182101205,0.437316853,1.182108535,0.437316853,0.046701895,2960.277015,0.029021002,1839.544295,29659,1
67.72983,25.05963,,67.73249,25.05963,1.182108535,0.437373053,1.182154961,0.437373053,0.295778504,2960.572794,0.183799576,1839.728095,29660,2
67.73249,25.09274,,67.7327,25.09274,1.182154961,0.437950931,1.182158626,0.437950931,0.023350803,2960.596145,0.014510411,1839.742605,29661,3
67.7327,25.09365,,67.73438,25.09365,1.182158626,0.437966814,1.182187948,0.437966814,0.186807484,2960.782952,0.116083947,1839.858689,29662,4
67.73438,25.09858,,67.73524,25.09858,1.182187948,0.438052859,1.182202958,0.438052859,0.095627652,2960.87858,0.059423933,1839.918113,29663,5
67.73524,25.10275,,67.73553,25.10275,1.182202958,0.438125639,1.182208019,0.438125639,0.032246574,2960.910826,0.020038328,1839.938151,29664,1
67.73553,25.10502,,67.73557,25.10502,1.182208019,0.438165258,1.182208717,0.438165258,0.00444881,2960.915275,0.002764533,1839.940916,29665,2
