type,latitude,longitude
T,58.55048,-4.06208
T,58.54829,-4.06366
T,58.54774,-4.06423
T,58.54735,-4.06485
T,58.54695,-4.06593
T,58.54665,-4.06751
T,58.54661,-4.06862
T,58.54667,-4.0696
T,58.54727,-4.07247
T,58.5474,-4.07354
T,58.54727,-4.07699
T,58.54719,-4.07725
T,58.54707,-4.07748
T,58.54469,-4.08004
T,58.54456,-4.08039
T,58.54452,-4.08065
T,58.54477,-4.08364
T,58.54475,-4.08395
T,58.54453,-4.08473
T,58.54387,-4.08574
T,58.54279,-4.08678
T,58.54245,-4.087
T,58.54184,-4.08723
T,58.54171,-4.08731
T,58.5415,-4.08753
T,58.54131,-4.08796
T,58.54106,-4.08889
T,58.54102,-4.08934
T,58.54108,-4.08986
T,58.54258,-4.0937
T,58.54284,-4.09419
T,58.54367,-4.09528
T,58.54453,-4.09602
T,58.54474,-4.09638
T,58.54558,-4.09882
T,58.54565,-4.09917
T,58.54566,-4.09918
T,58.5458,-4.10015
T,58.54575,-4.10068
T,58.54568,-4.10095
T,58.54556,-4.10122
T,58.54533,-4.10152
T,58.54525,-4.10158
T,58.545,-4.10168
T,58.54475,-4.10168
T,58.54418,-4.1018
T,58.54292,-4.10246
T,58.54271,-4.10262
T,58.54238,-4.10304
T,58.54222,-4.10334
T,58.54081,-4.1072
T,58.54061,-4.1081
T,58.54059,-4.10862
T,58.54064,-4.109
T,58.54109,-4.11025
T,58.5412,-4.1108
T,58.54119,-4.11142
T,58.54109,-4.11188
T,58.54093,-4.11221
T,58.54037,-4.11296
T,58.54024,-4.11327
T,58.54011,-4.11386
T,58.53987,-4.11649
T,58.53966,-4.11731
T,58.53921,-4.11837
T,58.53895,-4.11931
T,58.53861,-4.12139
T,58.53834,-4.1221
T,58.538,-4.12267
T,58.53754,-4.12319
T,58.53721,-4.12344
T,58.53685,-4.12361
T,58.53599,-4.12386
T,58.53583,-4.12394
T,58.53555,-4.12421
T,58.53542,-4.12443
T,58.53541,-4.12443
T,58.53528,-4.12473
T,58.53492,-4.12595
T,58.53385,-4.12863
T,58.5337,-4.12926
T,58.53363,-4.12992
T,58.53363,-4.13139
T,58.53356,-4.13186
T,58.53335,-4.13248
T,58.5325,-4.13387
T,58.53234,-4.13427
T,58.53231,-4.13443
T,58.5323,-4.13444
T,58.53214,-4.13688
T,58.5318,-4.13805
T,58.53168,-4.1387
T,58.53167,-4.13901
T,58.53166,-4.13902
T,58.53165,-4.13958
T,58.53191,-4.14226
T,58.53168,-4.14555
T,58.53071,-4.14871
T,58.53059,-4.14893
T,58.53042,-4.14912
T,58.53028,-4.1492
T,58.53016,-4.14922
T,58.52846,-4.14909
T,58.52822,-4.14914
T,58.52803,-4.14931
T,58.52781,-4.14986
T,58.52757,-4.15102
T,58.52754,-4.15173
T,58.52758,-4.15226
T,58.52792,-4.15419
T,58.52792,-4.15499
T,58.52684,-4.15869
T,58.52677,-4.15928
T,58.5268,-4.16037
T,58.52728,-4.16374
T,58.52736,-4.16672
T,58.52753,-4.16841
T,58.5278,-4.16967
T,58.52908,-4.17343
T,58.52926,-4.17428
T,58.52995,-4.18205
T,58.52995,-4.19051
T,58.5299,-4.19095
T,58.52933,-4.19318
T,58.52918,-4.19462
T,58.52913,-4.19647
T,58.52906,-4.19706
T,58.52911,-4.19803
T,58.52945,-4.19904
T,58.5295,-4.19934
T,58.52948,-4.1998
T,58.52939,-4.2001
T,58.52913,-4.20065
T,58.52902,-4.201
T,58.52899,-4.20145
T,58.52921,-4.20342
T,58.52921,-4.20386
T,58.52906,-4.20485
T,58.52854,-4.20661
T,58.52802,-4.21172
T,58.52811,-4.21358
T,58.52801,-4.21428
T,58.52649,-4.21689
T,58.5255,-4.21982
T,58.52543,-4.22017
T,58.52538,-4.22123
T,58.52476,-4.22378
T,58.52452,-4.22421
T,58.52428,-4.22444
T,58.52306,-4.22526
T,58.52288,-4.22531
T,58.52275,-4.2253
T,58.5222,-4.22507
T,58.52047,-4.22357
T,58.51944,-4.22207
T,58.51926,-4.22189
T,58.51906,-4.2218
T,58.51812,-4.22161
T,58.51728,-4.22131
T,58.51705,-4.22118
T,58.51683,-4.221
T,58.51566,-4.21968
T,58.51354,-4.21797
T,58.51244,-4.21689
T,58.51116,-4.21508
T,58.511,-4.21495
T,58.51089,-4.21496
T,58.51079,-4.21504
T,58.51074,-4.21513
T,58.51037,-4.2167
T,58.51018,-4.21718
