type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	58.544530000	-4.084730000							
T	58.543870000	-4.085740000							
T	58.542790000	-4.086780000							
T	58.542450000	-4.087000000							
T	58.541840000	-4.087230000							
T	58.541710000	-4.087310000							
T	58.541500000	-4.087530000							
T	58.541310000	-4.087960000							
T	58.541060000	-4.088890000							
T	58.541020000	-4.089340000							
T	58.541080000	-4.089860000							
T	58.542580000	-4.093700000							
T	58.542840000	-4.094190000							
T	58.543670000	-4.095280000							
T	58.544530000	-4.096020000							
T	58.544740000	-4.096380000							
T	58.545580000	-4.098820000							
T	58.545650000	-4.099170000							
T	58.545660000	-4.099180000							
T	58.545800000	-4.100150000							
T	58.545750000	-4.100680000							
T	58.545680000	-4.100950000							
T	58.545560000	-4.101220000							
T	58.545330000	-4.101520000							
T	58.545250000	-4.101580000							
T	58.545000000	-4.101680000							
T	58.544750000	-4.101680000							
T	58.544180000	-4.101800000							
T	58.542920000	-4.102460000							
T	58.542710000	-4.102620000							
T	58.542380000	-4.103040000							
T	58.542220000	-4.103340000							
T	58.540810000	-4.107200000							
T	58.540610000	-4.108100000							
T	58.540590000	-4.108620000							
T	58.540640000	-4.109000000							
T	58.541090000	-4.110250000							
T	58.541200000	-4.110800000							
T	58.541190000	-4.111420000							
T	58.541090000	-4.111880000							
T	58.540930000	-4.112210000							
T	58.540370000	-4.112960000							
T	58.540240000	-4.113270000							
T	58.540110000	-4.113860000							
T	58.539870000	-4.116490000							
T	58.539660000	-4.117310000							
T	58.539210000	-4.118370000							
T	58.538950000	-4.119310000							
T	58.538610000	-4.121390000							
T	58.538340000	-4.122100000							
T	58.538000000	-4.122670000							
T	58.537540000	-4.123190000							
T	58.537210000	-4.123440000							
T	58.536850000	-4.123610000							
T	58.535990000	-4.123860000							
T	58.535830000	-4.123940000							
T	58.535550000	-4.124210000							
T	58.535420000	-4.124430000							
T	58.535410000	-4.124430000							
T	58.535280000	-4.124730000							
T	58.534920000	-4.125950000							
T	58.533850000	-4.128630000							
T	58.533700000	-4.129260000							
T	58.533630000	-4.129920000							
T	58.533630000	-4.131390000							
T	58.533560000	-4.131860000							
T	58.533350000	-4.132480000							
T	58.532500000	-4.133870000							
T	58.532340000	-4.134270000							
T	58.532310000	-4.134430000							
T	58.532300000	-4.134440000							
T	58.532140000	-4.136880000							
T	58.531800000	-4.138050000							
T	58.531680000	-4.138700000							
T	58.531670000	-4.139010000							
T	58.531660000	-4.139020000							
T	58.531650000	-4.139580000							
T	58.531910000	-4.142260000							
T	58.531680000	-4.145550000							
T	58.530710000	-4.148710000							
T	58.530590000	-4.148930000							
T	58.530420000	-4.149120000							
T	58.530280000	-4.149200000							
T	58.530160000	-4.149220000							
T	58.528460000	-4.149090000							
T	58.528220000	-4.149140000							
T	58.528030000	-4.149310000							
T	58.527810000	-4.149860000							
T	58.527570000	-4.151020000							
T	58.527540000	-4.151730000							
T	58.527580000	-4.152260000							
T	58.527920000	-4.154190000							
T	58.527920000	-4.154990000							
T	58.526840000	-4.158690000							
T	58.526770000	-4.159280000							
T	58.526800000	-4.160370000							
T	58.527280000	-4.163740000							
T	58.527360000	-4.166720000							
T	58.527530000	-4.168410000							
T	58.527800000	-4.169670000							
T	58.529080000	-4.173430000							
T	58.529260000	-4.174280000							
T	58.529950000	-4.182050000							
T	58.529950000	-4.190510000							
T	58.529900000	-4.190950000							
T	58.529330000	-4.193180000							
T	58.529180000	-4.194620000							
T	58.529130000	-4.196470000							
T	58.529060000	-4.197060000							
T	58.529110000	-4.198030000							
T	58.529450000	-4.199040000							
T	58.529500000	-4.199340000							
T	58.529480000	-4.199800000							
T	58.529390000	-4.200100000							
T	58.529130000	-4.200650000							
T	58.529020000	-4.201000000							
T	58.528990000	-4.201450000							
T	58.529210000	-4.203420000							
T	58.529210000	-4.203860000							
T	58.529060000	-4.204850000							
T	58.528540000	-4.206610000							
T	58.528020000	-4.211720000							
T	58.528110000	-4.213580000							
T	58.528010000	-4.214280000							
T	58.526490000	-4.216890000							
T	58.525500000	-4.219820000							
T	58.525430000	-4.220170000							
T	58.525380000	-4.221230000							
T	58.524760000	-4.223780000							
T	58.524520000	-4.224210000							
T	58.524280000	-4.224440000							
T	58.523060000	-4.225260000							
T	58.522880000	-4.225310000							
T	58.522750000	-4.225300000							
T	58.522200000	-4.225070000							
T	58.520470000	-4.223570000							
T	58.519440000	-4.222070000							
T	58.519260000	-4.221890000							
T	58.519060000	-4.221800000							
T	58.518120000	-4.221610000							
T	58.517280000	-4.221310000							
T	58.517050000	-4.221180000							
T	58.516830000	-4.221000000							
T	58.515660000	-4.219680000							
T	58.513540000	-4.217970000							
T	58.512440000	-4.216890000							
T	58.511160000	-4.215080000							
T	58.511000000	-4.214950000							
T	58.510890000	-4.214960000							
T	58.510790000	-4.215040000							
T	58.510740000	-4.215130000							
T	58.510370000	-4.216700000							
