X,Y,OBJECTID,POSTCODE,NO_OF_PROPERTIES,NO_OF_HA_PROPERTIES,F__HA_OF_POSTCODE_TOTAL,NO_OF_OTHER_PROPERTIES,F__OTHER_OF_POSTCODE_TOTAL,ADDRESS,LATITUDE,LONGITUDE,EASTING,NORTHING,CONSTITUENCY,WARD,LSOA,REGION,LSOA_CODE,ROW_NUMBER
-4.2828560003511,55.9048830002398,4890,G23 5ND,33,0,0,33,1,G23 5ND,55.904883,-4.282856,257382,670330,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4481
-4.29451300031356,55.9064009999847,4891,G23 5NE,66,0,0,66,1,G23 5NE,55.906401,-4.294513,256659,670523,Glasgow North,Maryhill,Summerston Central and West - 06,,S01010345,4482
-4.28555500030033,55.9067019998569,4892,G23 5NF,47,0,0,47,1,G23 5NF,55.906702,-4.285555,257220,670538,Glasgow North,Maryhill,Summerston Central and West - 06,,S01010345,4483
-4.2859119997774,55.904341000046,4893,G23 5NG,11,0,0,11,1,G23 5NG,55.904341,-4.285912,257189,670276,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4484
-4.28647699966692,55.907422000044,4894,G23 5NH,80,0,0,80,1,G23 5NH,55.907422,-4.286477,257165,670620,Glasgow North,Maryhill,Summerston Central and West - 06,,S01010345,4485
-4.2855129995692,55.9040869999038,4895,G23 5NJ,12,0,0,12,1,G23 5NJ,55.904087,-4.285513,257213,670247,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4486
-4.28966600006091,55.9064189997885,4896,G23 5NL,17,0,0,17,1,G23 5NL,55.906419,-4.289666,256962,670515,Glasgow North,Maryhill,Summerston Central and West - 06,,S01010345,4487
-4.28188899988035,55.9072190001974,4897,G23 5NN,33,0,0,33,1,G23 5NN,55.907219,-4.281889,257451,670588,Glasgow North,Maryhill,Summerston Central and West - 06,,S01010345,4488
-4.28098900025507,55.9055109998296,4898,G23 5NQ,20,0,0,20,1,G23 5NQ,55.905511,-4.280989,257501,670396,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4489
-4.2872709998853,55.9051420000903,4899,G23 5NR,2,0,0,2,1,G23 5NR,55.905142,-4.287271,257107,670368,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4490
-4.28730799969521,55.9025079999599,4900,G23 5NT,14,0,0,14,1,G23 5NT,55.902508,-4.287308,257095,670075,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4491
-4.28574600009602,55.903427000057,4901,G23 5NW,10,0,0,10,1,G23 5NW,55.903427,-4.285746,257196,670174,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4492
-4.28093200035368,55.9048199999058,4902,G23 5NX,26,0,0,26,1,G23 5NX,55.90482,-4.280932,257502,670319,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4493
