Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
86,58.18846,-3.49718,92,58.18564,-3.49856,1.015580214,-0.061037306,1.015530995,-0.061061391,0.323835142,67.33460234,1
87,58.18564,-3.49856,63,58.18447,-3.49624,1.015530995,-0.061061391,1.015510575,-0.061020899,0.188203931,67.52280627,1
88,58.18447,-3.49624,55,58.18394,-3.49748,1.015510575,-0.061020899,1.015501325,-0.061042542,0.093578566,67.61638484,1
89,58.18394,-3.49748,38,58.18503,-3.50041,1.015501325,-0.061042542,1.015520349,-0.06109368,0.210216013,67.82660085,1
90,58.18503,-3.50041,23,58.18353,-3.50071,1.015520349,-0.06109368,1.015494169,-0.061098916,0.167716955,67.99431781,1
91,58.18353,-3.50071,19,58.18272,-3.50023,1.015494169,-0.061098916,1.015480032,-0.061090538,0.094361102,68.08867891,1
92,58.18272,-3.50023,27,58.1818,-3.50327,1.015480032,-0.061090538,1.015463975,-0.061143596,0.20549089,68.2941698,1
93,58.1818,-3.50327,55,58.1784,-3.51155,1.015463975,-0.061143596,1.015404634,-0.061288109,0.615288798,68.9094586,1
94,58.1784,-3.51155,112,58.17552,-3.5196,1.015404634,-0.061288109,1.015354368,-0.061428608,0.570379685,69.47983828,1
95,58.17552,-3.5196,151,58.17026,-3.53029,1.015354368,-0.061428608,1.015262564,-0.061615184,0.857344656,70.33718294,1
96,58.17026,-3.53029,166,58.1659,-3.55272,1.015262564,-0.061615184,1.015186467,-0.062006661,1.401956391,71.73913933,1
97,58.1659,-3.55272,183,58.16367,-3.55754,1.015186467,-0.062006661,1.015147547,-0.062090786,0.376044791,72.11518412,1
98,58.16367,-3.55754,169,58.16289,-3.57564,1.015147547,-0.062090786,1.015133933,-0.062406691,1.065198979,73.1803831,1
99,58.16289,-3.57564,151,58.16303,-3.58498,1.015133933,-0.062406691,1.015136376,-0.062569705,0.548067173,73.72845027,1
100,58.16303,-3.58498,158,58.15986,-3.5887,1.015136376,-0.062569705,1.015081049,-0.062634631,0.41456362,74.14301389,1
101,58.15986,-3.5887,170,58.15766,-3.58902,1.015081049,-0.062634631,1.015042652,-0.062640216,0.245348059,74.38836195,1
102,58.15766,-3.58902,179,58.15314,-3.5876,1.015042652,-0.062640216,1.014963763,-0.062615432,0.509458758,74.89782071,1
103,58.15314,-3.5876,199,58.15062,-3.59021,1.014963763,-0.062615432,1.014919781,-0.062660985,0.319327488,75.2171482,1
104,58.15062,-3.59021,214,58.1481,-3.59729,1.014919781,-0.062660985,1.014875799,-0.062784555,0.501109529,75.71825773,1
105,58.1481,-3.59729,232,58.14359,-3.60081,1.014875799,-0.062784555,1.014797084,-0.06284599,0.542366762,76.26062449,1
106,58.14359,-3.60081,225,58.14145,-3.60085,1.014797084,-0.06284599,1.014759734,-0.062846688,0.237968727,76.49859322,1
107,58.14145,-3.60085,220,58.14064,-3.60508,1.014759734,-0.062846688,1.014745597,-0.062920516,0.264100103,76.76269332,1
108,58.14064,-3.60508,214,58.14199,-3.61085,1.014745597,-0.062920516,1.014769159,-0.063021221,0.370429552,77.13312287,1
109,58.14199,-3.61085,203,58.1415,-3.6115,1.014769159,-0.063021221,1.014760607,-0.063032566,0.066513407,77.19963628,1
110,58.1415,-3.6115,205,58.13803,-3.60912,1.014760607,-0.063032566,1.014700044,-0.062991027,0.410355099,77.60999138,1
111,58.13803,-3.60912,188,58.13628,-3.61106,1.014700044,-0.062991027,1.014669501,-0.063024886,0.225462219,77.8354536,1
