X,Y,OBJECTID,ACCIDENT_INDEX,POLICE_FORCE,ACCIDENT_SEVERITY,NUMBER_OF_VEHICLES,NUMBER_OF_CASUALTIES,DATE_,DAY_OF_WEEK,TIME,LOCAL_AUTHORITY__DISTRICT_,LOCAL_AUTHORITY__HIGHWAY_,ROAD_TYPE,SPEED_LIMIT,JUNCTION_DETAIL,JUNCTION_CONTROL,PEDESTRIAN_CROSSING_HUMAN_CONT,PEDESTRIAN_CROSSING_PHYSICAL_F,LIGHT_CONDITIONS,WEATHER_CONDITIONS,ROAD_SURFACE_CONDITIONS,SPECIAL_CONDITIONS_AT_SITE,CARRIAGEWAY_HAZARDS,URBAN_OR_RURAL_AREA,DID_POLICE_OFFICER_ATTEND_SCEN,LOCATION_EASTING_OSGR,LOCATION_NORTHING_OSGR,LONGITUDE,LATITUDE,CASUALITY_TYPE,FIRST_ROAD_CLASS,FIRST_ROAD_NUMBER,SECOND_ROAD_CLASS,SECOND_ROAD_NUMBER
-4.255519819,55.86302103,27,201497AB00905,Police Scotland,Slight,1,1,2014/05/16 00:00:00+00,Friday,1900/01/01 17:00:00+00,Glasgow,Glasgow,One way street,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258941,665611,-4.25552,55.863021,,Unclassified,0,Unclassified,0
-4.25067883,55.86000902,28,201497AB01002,Police Scotland,Slight,1,2,2014/02/14 00:00:00+00,Friday,1900/01/01 19:11:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Snowing + high winds,Wet or damp,None,None,Urban,Yes,259233,665266,-4.250679,55.860009,,Unclassified,0,Unclassified,0
-4.250388827,55.86078702,29,201497AB01007,Police Scotland,Slight,1,1,2014/07/11 00:00:00+00,Friday,1900/01/01 13:20:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259254,665352,-4.250389,55.860787,,Unclassified,0,,0
-4.248254829,55.85981102,30,201497AB01008,Police Scotland,Slight,1,1,2014/08/15 00:00:00+00,Friday,1900/01/01 07:25:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259384,665239,-4.248255,55.859811,,Unclassified,0,Unclassified,0
-4.270736815,55.86633603,31,201497AB01011,Police Scotland,Slight,1,1,2014/11/07 00:00:00+00,Friday,1900/01/01 22:40:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,258001,666011,-4.270737,55.866336,,Unclassified,0,,0
-4.250599813,55.86886303,32,201497AB01012,Police Scotland,Slight,2,2,2014/12/06 00:00:00+00,Saturday,1900/01/01 14:00:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,259270,666251,-4.2506,55.868863,,Unclassified,0,A,804
-4.248282818,55.86306403,33,201497AB01103,Police Scotland,Slight,1,1,2014/03/12 00:00:00+00,Wednesday,1900/01/01 10:00:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,259394,665601,-4.248283,55.863064,,Unclassified,0,,0
-4.256800829,55.85864802,34,201497AB01104,Police Scotland,Slight,1,1,2014/04/11 00:00:00+00,Friday,1900/01/01 15:55:00+00,Glasgow,Glasgow,One way street,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,258845,665127,-4.256801,55.858648,,Unclassified,0,,0
-4.253828833,55.85810002,35,201497AB01108,Police Scotland,Slight,2,1,2014/08/10 00:00:00+00,Sunday,1900/01/01 07:15:00+00,Glasgow,Glasgow,Single carriageway,30,Other junction,Give way or uncontrolled,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Raining no high winds,Wet or damp,None,None,Urban,No,259029,665060,-4.253829,55.8581,,Unclassified,0,Unclassified,0
-4.24949583,55.85998602,36,201497AB01112,Police Scotland,Slight,1,1,2014/12/06 00:00:00+00,Saturday,1900/01/01 19:26:00+00,Glasgow,Glasgow,Single carriageway,30,Other junction,Give way or uncontrolled,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,259307,665261,-4.249496,55.859986,,Unclassified,0,Unclassified,0
